,06/02/23,07/02/23,08/02/23,09/02/23,10/02/23,11/02/23,12/02/23,13/02/23,14/02/23,15/02/23
Torino - Lingotto,,,"35,0","33,0","51,0","60,0","53,0","67,0","79,0","81,0"
Torino - Rebaudengo,"25,0","33,0","23,0","19,0","59,0","71,0","65,0","83,0","92,0","95,0"
Torino - Rubino,,,"30,0","28,0","51,0","51,0","53,0","60,0","72,0","70,0"
Baldissero T.(ACEA) - parco,"18,0","14,0","24,0","20,0","22,0","25,0","27,0","40,0","34,0","39,0"
Beinasco (TRM) - Aldo Mei,"20,0","20,0","32,0","30,0","48,0","54,0","48,0","59,0","71,0","73,0"
Borgaro T. - Caduti,"22,0","25,0","36,0","31,0","41,0","53,0","45,0","55,0","65,0","60,0"
Ceresole Reale - Diga,"8,0","2,0","11,0",,"2,0","6,0","5,0","6,0","4,0","5,0"
Ivrea - Liberazione,"23,0","23,0","34,0","30,0","49,0","54,0","55,0","58,0","63,0","65,0"
Leini'(ACEA) - Grande Torino,"21,0","23,0","29,0","31,0","44,0","47,0","39,0","56,0","61,0","61,0"
Pinerolo - Alpini,"17,0","12,0","22,0","30,0","32,0","28,0","24,0","35,0","36,0","26,0"
Alessandria - Volta,"19,0","25,0","34,0","30,0","52,0","55,0","51,0","86,0","75,0","66,0"
Casale M.to - Castello,"19,0","30,0","38,0","29,0","44,0","45,0","39,0","80,0","51,0","48,0"
Tortona - Carbone,"26,0","33,0","47,0","30,0","47,0","44,0","34,0","98,0","68,0","49,0"
Asti - D'Acquisto,"20,0","22,0",,"28,0","51,0","55,0","51,0","73,0","70,0","63,0"
Trivero - Ronco,"18,0","12,0","23,0","17,0","16,0","19,0","19,0","27,0","25,0","16,0"
Bra - Madonna Fiori,"18,0","20,0","31,0","31,0","32,0","35,0","35,0","54,0","46,0","38,0"
Cavallermaggiore - Galilei,"18,0","22,0","35,0","39,0","39,0","42,0","38,0","57,0","57,0","44,0"
Mondovi' - Aragno,"27,0","21,0","38,0","39,0","36,0","34,0","24,0","52,0","46,0","34,0"
Novara-Arpa,"22,0","25,0","39,0","26,0","38,0","47,0","51,0","59,0","59,0",
Borgomanero - Molli,"19,0","24,0","34,0","26,0","31,0","28,0","37,0","33,0","37,0","28,0"
Castelletto T. - Fontane,"26,0","19,0","44,0","34,0","46,0",,,,"47,0","34,0"
Baceno - Alpe Devero,"6,0","3,0","9,0","20,0","5,0","2,0","3,0","4,0","2,0","3,0"
Verbania - Gabardi,"20,0","18,0","30,0","19,0","20,0","25,0","25,0","29,0","23,0","19,0"
Omegna - Crusinallo,"30,0","32,0","45,0","37,0","48,0","55,0","46,0","50,0","55,0","43,0"
Vercelli - Gastaldi,"24,0","28,0","33,0","34,0","53,0","57,0","56,0","63,0","69,0","69,0"
Borgosesia - Tonella,"21,0","24,0","30,0","31,0","27,0","34,0","36,0","36,0","37,0","26,0"
Cigliano-Autostrada,"25,0","24,0","33,0","30,0","46,0","49,0","50,0","54,0","63,0","61,0"
