"nome stazione","codice stazione","media [ug/m3]","n° superamenti","% dati validi","anno","data riferimento"
"Alessandria - Volta","006003805","36","5","84","2023","07-02-2023"
"Alessandria - Volta","006003805","49","20","100","2022","07-02-2022"
"Alessandria - Volta","006003805","45","15","97","2021","07-02-2021"
"Alessandria - Volta","006003805","63","24","92","2020","07-02-2020"
"Alessandria - Volta","006003805","55","22","100","2019","07-02-2019"
"Asti - D'Acquisto","005005801","40","10","100","2023","07-02-2023"
"Asti - D'Acquisto","005005801","52","19","100","2022","07-02-2022"
"Asti - D'Acquisto","005005801","42","11","100","2021","07-02-2021"
"Asti - D'Acquisto","005005801","57","23","95","2020","07-02-2020"
"Asti - D'Acquisto","005005801","55","20","87","2019","07-02-2019"
"Asti - D'Acquisto","005005801","40","6","82","2018","07-02-2018"
"Asti - D'Acquisto","005005801","45","15","95","2017","07-02-2017"
"Asti - D'Acquisto","005005801","45","14","100","2016","07-02-2016"
"Asti - D'Acquisto","005005801","37","8","100","2015","07-02-2015"
"Asti - D'Acquisto","005005801","44","14","100","2014","07-02-2014"
"Asti - D'Acquisto","005005801","38","8","100","2013","07-02-2013"
"Baceno - Alpe Devero","003010800","3","0","100","2023","07-02-2023"
"Baceno - Alpe Devero","003010800","3","0","97","2022","07-02-2022"
"Baceno - Alpe Devero","003010800","2","0","100","2021","07-02-2021"
"Baceno - Alpe Devero","003010800","","0","0","2020","07-02-2020"
"Baceno - Alpe Devero","003010800","2","0","82","2019","07-02-2019"
"Baceno - Alpe Devero","003010800","2","0","100","2018","07-02-2018"
"Baceno - Alpe Devero","003010800","3","0","82","2017","07-02-2017"
"Baceno - Alpe Devero","003010800","3","0","100","2016","07-02-2016"
"Baceno - Alpe Devero","003010800","2","0","97","2015","07-02-2015"
"Baceno - Alpe Devero","003010800","","0","0","2014","07-02-2014"
"Baceno - Alpe Devero","003010800","","0","0","2013","07-02-2013"
"Baldissero T. (ACEA) - parco","001018800","16","0","100","2023","07-02-2023"
"Baldissero T. (ACEA) - parco","001018800","23","3","63","2022","07-02-2022"
"Baldissero T. (ACEA) - parco","001018800","12","0","66","2021","07-02-2021"
"Baldissero T. (ACEA) - parco","001018800","29","6","97","2020","07-02-2020"
"Baldissero T. (ACEA) - parco","001018800","","0","0","2019","07-02-2019"
"Baldissero T. (ACEA) - parco","001018800","10","0","100","2018","07-02-2018"
"Baldissero T. (ACEA) - parco","001018800","22","1","100","2017","07-02-2017"
"Baldissero T. (ACEA) - parco","001018800","18","0","100","2016","07-02-2016"
"Baldissero T. (ACEA) - parco","001018800","15","0","79","2015","07-02-2015"
"Baldissero T. (ACEA) - parco","001018800","15","0","66","2014","07-02-2014"
"Baldissero T. (ACEA) - parco","001018800","19","0","97","2013","07-02-2013"
"Beinasco (TRM) - Aldo Mei","001024802","39","7","100","2023","07-02-2023"
"Beinasco (TRM) - Aldo Mei","001024802","52","18","95","2022","07-02-2022"
"Beinasco (TRM) - Aldo Mei","001024802","34","7","100","2021","07-02-2021"
"Beinasco (TRM) - Aldo Mei","001024802","60","24","92","2020","07-02-2020"
"Beinasco (TRM) - Aldo Mei","001024802","49","18","100","2019","07-02-2019"
"Beinasco (TRM) - Aldo Mei","001024802","41","12","100","2018","07-02-2018"
"Beinasco (TRM) - Aldo Mei","001024802","51","20","92","2017","07-02-2017"
"Beinasco (TRM) - Aldo Mei","001024802","48","15","97","2016","07-02-2016"
"Beinasco (TRM) - Aldo Mei","001024802","43","12","97","2015","07-02-2015"
"Beinasco (TRM) - Aldo Mei","001024802","48","12","100","2014","07-02-2014"
"Beinasco (TRM) - Aldo Mei","001024802","52","21","97","2013","07-02-2013"
"Biella - Sturzo","002012802","17","0","82","2023","07-02-2023"
"Biella - Sturzo","002012802","27","4","84","2022","07-02-2022"
"Biella - Sturzo","002012802","18","0","100","2021","07-02-2021"
"Biella - Sturzo","002012802","23","1","95","2020","07-02-2020"
"Biella - Sturzo","002012802","20","1","100","2019","07-02-2019"
"Borgaro T. - Caduti","001028801","38","5","100","2023","07-02-2023"
"Borgaro T. - Caduti","001028801","51","15","87","2022","07-02-2022"
"Borgaro T. - Caduti","001028801","34","2","76","2021","07-02-2021"
"Borgomanero - Molli","003024802","23","0","100","2023","07-02-2023"
"Borgomanero - Molli","003024802","38","8","97","2022","07-02-2022"
"Borgomanero - Molli","003024802","28","3","100","2021","07-02-2021"
"Borgomanero - Molli","003024802","34","5","92","2020","07-02-2020"
"Borgomanero - Molli","003024802","32","4","100","2019","07-02-2019"
"Borgomanero - Molli","003024802","27","1","97","2018","07-02-2018"
"Borgomanero - Molli","003024802","44","12","100","2017","07-02-2017"
"Borgomanero - Molli","003024802","38","8","97","2016","07-02-2016"
"Borgomanero - Molli","003024802","32","6","100","2015","07-02-2015"
"Borgomanero - Molli","003024802","26","1","100","2014","07-02-2014"
"Borgomanero - Molli","003024802","41","9","100","2013","07-02-2013"
"Borgosesia - Tonella","002016800","24","0","100","2023","07-02-2023"
"Borgosesia - Tonella","002016800","32","3","100","2022","07-02-2022"
"Borgosesia - Tonella","002016800","19","0","90","2021","07-02-2021"
"Bra - Madonna Fiori","004029801","34","3","79","2023","07-02-2023"
"Bra - Madonna Fiori","004029801","43","8","95","2022","07-02-2022"
"Bra - Madonna Fiori","004029801","34","4","92","2021","07-02-2021"
"Bra - Madonna Fiori","004029801","46","17","100","2020","07-02-2020"
"Casale M.to - Castello","006039801","32","4","74","2023","07-02-2023"
"Casale M.to - Castello","006039801","39","10","100","2022","07-02-2022"
"Casale M.to - Castello","006039801","38","6","61","2021","07-02-2021"
"Casale M.to - Castello","006039801","55","20","92","2020","07-02-2020"
"Casale M.to - Castello","006039801","41","12","97","2019","07-02-2019"
"Casale M.to - Castello","006039801","35","4","97","2018","07-02-2018"
"Casale M.to - Castello","006039801","53","19","100","2017","07-02-2017"
"Casale M.to - Castello","006039801","45","14","100","2016","07-02-2016"
"Casale M.to - Castello","006039801","46","16","100","2015","07-02-2015"
"Casale M.to - Castello","006039801","31","5","100","2014","07-02-2014"
"Casale M.to - Castello","006039801","31","2","92","2013","07-02-2013"
"Castelletto T. - Fontane","003043800","26","1","100","2023","07-02-2023"
"Castelletto T. - Fontane","003043800","41","13","100","2022","07-02-2022"
"Castelletto T. - Fontane","003043800","27","3","95","2021","07-02-2021"
"Castelletto T. - Fontane","003043800","35","8","100","2020","07-02-2020"
"Castelletto T. - Fontane","003043800","33","6","100","2019","07-02-2019"
"Castelletto T. - Fontane","003043800","27","2","92","2018","07-02-2018"
"Castelletto T. - Fontane","003043800","41","9","87","2017","07-02-2017"
"Castelletto T. - Fontane","003043800","41","10","95","2016","07-02-2016"
"Castelletto T. - Fontane","003043800","30","4","89","2015","07-02-2015"
"Castelletto T. - Fontane","003043800","24","2","100","2014","07-02-2014"
"Cavallermaggiore - Galilei","004059800","36","7","92","2023","07-02-2023"
"Cavallermaggiore - Galilei","004059800","44","10","100","2022","07-02-2022"
"Cavallermaggiore - Galilei","004059800","34","6","95","2021","07-02-2021"
"Ceresole Reale - Diga","001073800","6","0","89","2023","07-02-2023"
"Ceresole Reale - Diga","001073800","6","0","71","2022","07-02-2022"
"Ceresole Reale - Diga","001073800","5","0","97","2021","07-02-2021"
"Ceresole Reale - Diga","001073800","12","1","84","2020","07-02-2020"
"Ceresole Reale - Diga","001073800","4","0","89","2019","07-02-2019"
"Ceresole Reale - Diga","001073800","6","0","58","2018","07-02-2018"
"Ceresole Reale - Diga","001073800","6","0","100","2017","07-02-2017"
"Ceresole Reale - Diga","001073800","7","0","100","2016","07-02-2016"
"Ceresole Reale - Diga","001073800","2","0","97","2015","07-02-2015"
"Ceresole Reale - Diga","001073800","2","0","95","2014","07-02-2014"
"Ceresole Reale - Diga","001073800","3","0","100","2013","07-02-2013"
"Chieri - Bersezio","001078802","42","12","87","2023","07-02-2023"
"Chieri - Bersezio","001078802","51","16","100","2022","07-02-2022"
"Chieri - Bersezio","001078802","35","3","84","2021","07-02-2021"
"Chieri - Bersezio","001078802","56","18","71","2020","07-02-2020"
"Cigliano - Autostrada","002042800","35","4","100","2023","07-02-2023"
"Cigliano - Autostrada","002042800","46","13","100","2022","07-02-2022"
"Cigliano - Autostrada","002042800","29","4","97","2021","07-02-2021"
"Cigliano - Autostrada","002042800","68","20","76","2020","07-02-2020"
"Cigliano - Autostrada","002042800","41","10","47","2019","07-02-2019"
"Cigliano - Autostrada","002042800","36","7","97","2018","07-02-2018"
"Dernice - Costa","006066800","9","0","97","2023","07-02-2023"
"Domodossola - Curotti","003061801","39","6","92","2023","07-02-2023"
"Ivrea - Liberazione","001125802","34","6","100","2023","07-02-2023"
"Ivrea - Liberazione","001125802","48","20","100","2022","07-02-2022"
